entrez	symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
66050	0610009B22Rik	229.6105023106528	-0.23685279778872803	0.41177237257994065	-0.5752032277074294	0.5651538601119578	0.8636160464664897
104457	0610010K14Rik	195.25333522608022	0.33612683354619177	0.27836013536541604	1.207525039837126	0.2272300078392102	0.6031578066805445
68364	0610030E20Rik	409.62375289615994	-0.06859463030630626	0.15468562634870664	-0.4434454055328574	0.6574435997307868	0.9018795432258665
76261	0610040J01Rik	1.0935749926623881	-0.2845033508120671	1.5570069786564755	-0.1827245187157491	0.8550141764903048	NA
56372	1110004F10Rik	1607.6409885456328	-0.011120223575169579	0.11183238909577091	-0.09943651982295088	0.9207916878096064	0.9783558633884201
73721	1110017D15Rik	1.3713633005972599	-0.8762382475715951	1.1680912496487734	-0.7501453742034846	0.4531671542982954	0.8005473474598835
68721	1110032A03Rik	174.53817264993143	0.25052890669811473	0.2537616418145487	0.9872607416419679	0.3235148310626989	0.7064465095713625
68725	1110032F04Rik	6.230401358960932	0.3977187794592315	1.7326647186771225	0.22954168522741494	0.8184479252552386	0.9531737561573643
117171	1110038F14Rik	170.63324990731664	1.4227599955322763	0.5712638835719732	2.490547777388107	0.012754634591349753	0.10711247895963065
66206	1110059E24Rik	652.6941875255675	0.02776715191379626	0.30828677741888094	0.09006922757529746	0.9282322026394091	0.9809847078903488
118568607	1110059E24Rik	652.6941875255675	0.02776715191379626	0.30828677741888094	0.09006922757529746	0.9282322026394091	0.9809847078903488
66202	1110059G10Rik	385.9746617311755	0.09741688883767673	0.26044914975185074	0.3740341979633761	0.708378873443765	0.9190201684105234
68920	1110065P20Rik	163.68221881423995	-0.3539417022100341	0.2887187797919783	-1.2259046760486065	0.22023454893739933	0.5949133385721952
68918	1190005I06Rik	15.424759178732344	-0.02616844363324028	0.8452770380561928	-0.0309584224521436	0.9753026978424846	0.9956651559779718
544717	1190007I07Rik	56.08045868353096	-0.18852915308533258	0.4594458755698187	-0.410340288399614	0.681556341872303	0.9112394108938618
69784	1500009L16Rik	0.7681745790272622	1.8355159319306706	1.8920514639235981	0.970119453370635	0.331986953410347	NA
66236	1500011B03Rik	368.8086203736118	-0.04928772970735124	0.2618923418557372	-0.18819843817541362	0.850721096769281	0.9623688288832433
330173	1500011B03Rik	368.8086203736118	-0.04928772970735124	0.2618923418557372	-0.18819843817541362	0.850721096769281	0.9623688288832433
67912	1600012H06Rik	978.9581074691505	-0.3532521295345701	0.1474268230484933	-2.3961184418820065	0.01656973504863415	0.1281089658473755
72244	1600014C10Rik	857.2788236833533	2.907572938474987	0.509388521591283	5.707967131634604	1.1433349171579445e-8	7.863673806463267e-7
75462	1700001C19Rik	5.272429208606249	0.756069837992442	0.7567643445132305	0.9990822684421856	0.31775483999809895	0.7021792606287678
69282	1700001J03Rik	1.165406787967893	-0.3957380589626105	1.8365867965659148	-0.21547473808619833	0.8293972055722114	NA
66323	1700001K19Rik	2.3017336783573397	0.4740028504700881	1.038109984091917	0.4566017644890685	0.6479573107120746	0.8983075898284137
73598	1700001O22Rik	1.0244586235134154	-2.1615419105666147	2.2053994174610216	-0.980113576458228	0.32703005827986975	NA
71837	1700003E16Rik	1.2382815579112876	0.7103597044091129	1.6787487685469924	0.42314831004996095	0.6721870571170134	NA
75480	1700003F12Rik	18.095046573611086	-0.26982442079987945	0.472941393183996	-0.5705240114072767	0.5683223411645054	0.8645053236310473
69349	1700008O03Rik	4.823848821379877	0.19487599685433943	0.5938484572199537	0.3281577892222424	0.7427923614850188	0.9322134063073002
66931	1700010I14Rik	18.458331093114474	0.6593344959891223	0.9760789799436119	0.6754929770408662	0.4993626118040679	0.8268977182039078
69325	1700012B09Rik	3.1151806656022485	2.52800509972661	1.8275607574438018	1.3832673356712448	0.16658290974295034	0.5203690788625203
74211	1700017B05Rik	896.7282542606856	-1.0065456251249698	0.4581245917934606	-2.1971001844379434	0.02801329195529363	0.18177077474045814
67080	1700019D03Rik	1.7580044385709623	-0.03311833380635639	1.2315587874263911	-0.026891394990217497	0.9785463568400722	0.9961932148077622
66330	1700020L24Rik	4.443855725124851	0.3342375988852085	0.6875441788114937	0.4861325412760822	0.6268731962266318	0.8898379657120884
NA	1700020N01Rik	2.532417047759913	0.5574887302935622	1.9249036568563915	0.28961903018253443	0.7721077067081604	0.942651741308137
69399	1700025G04Rik	264.8452434119887	0.048819386707909175	0.34112233568277117	0.14311401395102158	0.8862001373396491	0.9703295966920417
76421	1700028K03Rik	2.059064608537239	0.06606972779495789	0.903323710722348	0.07314069918758676	0.9416941551012175	0.9853958673930603
75641	1700029I15Rik	8.035429799889233	-0.6094795840688413	0.7390541971517396	-0.8246750866414543	0.40955607948715905	0.770726287911007
69528	1700030J22Rik	14.7191710589044	0.11191528176564998	0.3213584966724571	0.34825680019196453	0.7276473339594741	0.9264163792780183
72254	1700030K09Rik	117.31859313160761	-0.10417762624395328	0.28123800298364354	-0.3704251386325344	0.7110657459551759	0.9201108384349082
73261	1700037C18Rik	68.15976832073541	0.5877485721464384	0.35154788654075425	1.6718876564154848	0.09454647727819329	0.38478254768830855
105246059	1700037C18Rik	68.15976832073541	0.5877485721464384	0.35154788654075425	1.6718876564154848	0.09454647727819329	0.38478254768830855
67326	1700037H04Rik	509.40840136430313	0.5288619050008223	0.2662754167853609	1.9861461917347292	0.047017093536993876	0.25486201511777207
73363	1700056E22Rik	2.112098585606128	0.32875966964134373	0.8168471262160589	0.4024739257690498	0.6873352739299812	0.9129426954517542
